iter	Passed	Remaining
1069	42058	5109
1070	42092	5070
1071	42133	5030
1072	42177	4992
1073	42219	4953
1074	42259	4913
1075	42292	4873
1076	42329	4834
1077	42364	4794
1078	42404	4755
1079	42450	4716
1080	42492	4677
1081	42526	4637
1082	42568	4598
1083	42615	4560
1084	42649	4520
1085	42690	4481
1086	42732	4442
1087	42772	4403
1088	42814	4363
1089	42852	4324
1090	42891	4285
1091	42930	4245
1092	42971	4206
1093	43015	4167
1094	43051	4128
1095	43085	4088
1096	43124	4049
1097	43166	4009
1098	43207	3970
1099	43247	3931
1100	43283	3891
1101	43328	3853
1102	43364	3813
1103	43397	3773
1104	43436	3734
1105	43476	3695
1106	43518	3655
1107	43558	3616
1108	43593	3577
1109	43631	3537
1110	43672	3498
1111	43707	3458
1112	43746	3419
1113	43788	3380
1114	43824	3340
1115	43864	3301
1116	43900	3262
1117	43944	3223
1118	43978	3183
1119	44016	3144
1120	44060	3105
1121	44105	3066
1122	44152	3027
1123	44194	2988
1124	44236	2949
1125	44286	2910
1126	44325	2871
1127	44370	2832
1128	44405	2792
1129	44443	2753
1130	44487	2714
1131	44522	2674
1132	44555	2634
1133	44591	2595
1134	44639	2556
1135	44671	2516
1136	44706	2477
1137	44749	2437
1138	44791	2398
1139	44830	2359
1140	44869	2320
1141	44902	2280
1142	44938	2241
1143	44983	2201
1144	45017	2162
1145	45053	2122
1146	45092	2083
1147	45135	2044
1148	45178	2005
1149	45220	1966
1150	45261	1926
1151	45305	1887
1152	45340	1848
1153	45377	1808
1154	45411	1769
1155	45453	1730
1156	45498	1690
1157	45543	1651
1158	45581	1612
1159	45620	1573
1160	45659	1533
1161	45698	1494
1162	45736	1455
1163	45776	1415
1164	45820	1376
1165	45856	1337
1166	45898	1297
1167	45936	1258
1168	45977	1219
1169	46018	1179
1170	46055	1140
1171	46094	1101
1172	46146	1062
1173	46193	1023
1174	46233	983
1175	46275	944
1176	46316	905
1177	46363	865
1178	46414	826
1179	46453	787
1180	46488	747
1181	46527	708
1182	46570	669
1183	46606	629
1184	46646	590
1185	46687	551
1186	46725	511
1187	46766	472
1188	46803	432
1189	46844	393
1190	46881	354
1191	46916	314
1192	46957	275
1193	46994	236
1194	47034	196
1195	47073	157
1196	47112	118
1197	47153	78
1198	47183	39
1199	47226	0
